date,state,beds_covid,beds_noncrit,admitted_pui,admitted_covid,discharged_pui,discharged_covid,hosp_covid,hosp_pui
2020-03-30,Perak,321,2551,9,5,3,1,162,35
2020-03-30,Perlis,12,495,3,1,0,0,1,4
2020-03-30,Pulau Pinang,86,1132,0,35,0,5,35,0
2020-03-30,Sabah,678,2528,4,3,7,0,189,80
2020-03-30,Sarawak,418,2327,9,9,8,0,70,41
2020-03-30,Selangor,476,741,7,11,8,16,290,37
2020-03-30,Terengganu,215,1179,6,2,11,0,44,88
2020-03-30,W.P. Kuala Lumpur,378,1537,6,24,5,5,222,49
2020-03-30,W.P. Labuan,15,115,0,0,0,0,0,5
2020-03-31,Johor,412,1373,7,14,0,0,224,76
2020-03-31,Kedah,165,1183,4,0,4,3,44,8
2020-03-31,Kelantan,309,1570,8,3,20,15,95,43
2020-03-31,Melaka,95,1065,0,4,2,2,38,9
2020-03-31,Negeri Sembilan,262,1205,2,10,0,4,121,5
2020-03-31,Pahang,532,1473,16,3,13,6,62,41
2020-03-31,Perak,331,2551,8,6,8,13,161,35
2020-03-31,Perlis,12,495,5,0,0,0,1,7
2020-03-31,Pulau Pinang,86,1132,1,6,0,8,33,1
2020-03-31,Sabah,623,2478,6,6,11,1,194,81
2020-03-31,Sarawak,418,2327,10,5,15,5,74,36
2020-03-31,Selangor,476,741,12,20,2,22,268,41
2020-03-31,Terengganu,215,1179,0,0,0,0,44,88
2020-03-31,W.P. Kuala Lumpur,438,1537,4,14,2,16,230,35
2020-03-31,W.P. Labuan,15,115,0,0,3,0,0,2
2020-04-01,Johor,459,1373,13,10,2,0,244,70
2020-04-01,Kedah,165,1183,0,1,3,2,44,1
2020-04-01,Kelantan,309,1570,6,8,19,11,92,30
2020-04-01,Melaka,95,1065,0,13,0,1,61,7
2020-04-01,Negeri Sembilan,262,1205,1,7,1,1,126,4
2020-04-01,Pahang,504,1622,17,3,6,1,65,49
2020-04-01,Perak,322,2551,5,4,7,12,157,34
2020-04-01,Perlis,12,495,0,0,1,0,1,6
2020-04-01,Pulau Pinang,86,1132,0,2,1,2,27,0
2020-04-01,Sabah,677,2478,10,3,8,0,197,85
2020-04-01,Sarawak,418,2327,14,27,1,3,134,48
2020-04-01,Selangor,476,783,16,33,3,25,276,50
2020-04-01,Terengganu,215,1209,7,1,12,2,43,82
2020-04-01,W.P. Kuala Lumpur,552,3410,13,31,5,9,238,32
2020-04-01,W.P. Labuan,15,115,1,0,0,0,0,3
2020-04-02,Johor,474,2579,8,13,11,14,247,64
2020-04-02,Kedah,165,1183,2,2,0,3,43,3
2020-04-02,Kelantan,309,1570,1,2,9,5,89,22
2020-04-02,Melaka,95,1065,1,0,0,2,51,7
2020-04-02,Negeri Sembilan,262,1205,1,15,1,3,140,2
2020-04-02,Pahang,504,1622,5,13,14,8,70,41
2020-04-02,Perak,322,2551,9,3,6,17,140,37
2020-04-02,Perlis,12,495,0,0,0,0,1,6
2020-04-02,Pulau Pinang,86,1132,2,2,0,5,28,2
2020-04-02,Sabah,690,2478,6,0,11,2,195,80
2020-04-02,Sarawak,418,2327,10,6,1,0,76,46
2020-04-02,Selangor,476,783,6,58,11,24,316,39
2020-04-02,Terengganu,215,1209,0,0,2,2,41,83
2020-04-02,W.P. Kuala Lumpur,544,3425,5,13,3,13,235,30
2020-04-02,W.P. Labuan,15,115,2,0,0,0,0,5
2020-04-03,Johor,474,2579,5,15,12,9,252,79
2020-04-03,Kedah,165,1183,1,0,0,5,38,5
2020-04-03,Kelantan,309,1570,5,3,7,17,75,19
2020-04-03,Melaka,117,1065,2,5,0,1,58,5
2020-04-03,Negeri Sembilan,262,1205,2,4,0,10,134,4
2020-04-03,Pahang,504,1622,3,3,8,4,68,38
2020-04-03,Perak,326,2551,7,5,6,10,135,31
2020-04-03,Perlis,12,495,1,0,0,0,1,7
2020-04-03,Pulau Pinang,86,1132,1,0,2,1,22,1
2020-04-03,Sabah,690,2478,22,5,16,12,190,87
2020-04-03,Sarawak,418,2327,25,18,4,2,86,66
2020-04-03,Selangor,476,783,10,50,15,38,327,33
2020-04-03,Terengganu,215,1209,1,4,5,0,46,78
2020-04-03,W.P. Kuala Lumpur,585,3389,11,49,2,12,289,27
2020-04-03,W.P. Labuan,15,115,0,0,2,0,0,3
2020-04-04,Johor,474,2579,5,17,10,10,249,91
2020-04-04,Kedah,165,1183,1,0,2,5,33,3
2020-04-04,Kelantan,309,1570,1,3,5,8,69,15
2020-04-04,Melaka,215,1065,0,2,0,2,60,2
2020-04-04,Negeri Sembilan,262,1205,2,3,3,4,129,5
2020-04-04,Pahang,504,1622,7,32,21,1,98,20
2020-04-04,Perak,326,2551,7,1,15,19,117,22
2020-04-04,Perlis,12,495,0,0,0,0,1,7
2020-04-04,Pulau Pinang,86,1132,0,1,2,3,21,0
2020-04-04,Sabah,690,2478,6,9,5,21,177,89
2020-04-04,Sarawak,418,2327,19,36,8,3,121,62
2020-04-04,Selangor,476,783,31,43,18,31,325,51
2020-04-04,Terengganu,215,1209,1,14,6,0,60,73
2020-04-04,W.P. Kuala Lumpur,598,3393,4,14,1,16,270,33
2020-04-04,W.P. Labuan,15,115,1,0,1,0,0,3
2020-04-05,Johor,474,2579,12,9,2,9,246,92
2020-04-05,Kedah,165,1183,0,0,0,6,27,3
2020-04-05,Kelantan,309,1570,1,4,4,11,62,12
2020-04-05,Melaka,203,1065,6,1,0,1,57,10
2020-04-05,Negeri Sembilan,262,1205,1,9,1,19,116,3
2020-04-05,Pahang,504,1622,6,8,4,14,92,22
2020-04-05,Perak,326,2551,14,5,4,15,107,32
2020-04-05,Perlis,12,495,1,1,0,0,2,8
2020-04-05,Pulau Pinang,86,1132,0,2,0,4,20,0
2020-04-05,Sabah,706,2478,6,8,9,4,181,86
2020-04-05,Sarawak,418,2327,12,15,5,6,95,70
2020-04-05,Selangor,476,783,23,52,19,32,338,61
2020-04-05,Terengganu,215,1209,7,9,23,7,65,46
2020-04-05,W.P. Kuala Lumpur,631,3393,8,16,3,13,278,30
2020-04-05,W.P. Labuan,15,115,1,0,0,0,0,4
2020-04-06,Johor,586,2579,3,19,13,27,245,57
2020-04-06,Kedah,176,1183,0,1,2,0,28,1
2020-04-06,Kelantan,309,1570,1,0,5,12,50,8
2020-04-06,Melaka,158,1039,0,14,0,1,89,8
2020-04-06,Negeri Sembilan,262,1205,3,19,1,17,112,4
2020-04-06,Pahang,504,1622,15,6,6,7,91,31
2020-04-06,Perak,326,2551,9,0,4,13,97,37
2020-04-06,Perlis,12,495,0,0,0,0,2,4
2020-04-06,Pulau Pinang,86,1132,0,0,0,2,18,0
2020-04-06,Sabah,714,2478,10,8,11,10,178,89
2020-04-06,Sarawak,418,2327,20,18,18,7,104,67
2020-04-06,Selangor,476,783,13,39,29,68,302,49
2020-04-06,Terengganu,260,1209,3,12,14,5,71,43
2020-04-06,W.P. Kuala Lumpur,646,3393,17,17,8,19,295,41
2020-04-06,W.P. Labuan,15,115,1,0,1,0,0,4
2020-04-07,Johor,586,2579,8,29,4,19,253,64
2020-04-07,Kedah,170,1183,0,7,0,4,31,1
2020-04-07,Kelantan,309,1570,9,3,3,7,46,14
2020-04-07,Melaka,158,1039,1,9,0,1,78,9
2020-04-07,Negeri Sembilan,430,1205,1,23,0,11,124,1
2020-04-07,Pahang,504,1622,8,3,2,9,87,29
2020-04-07,Perak,323,2551,6,19,5,18,98,38
2020-04-07,Perlis,12,495,1,3,1,0,5,4
2020-04-07,Pulau Pinang,86,1132,2,1,1,2,17,1
2020-04-07,Sabah,639,2478,7,1,10,24,117,77
2020-04-07,Sarawak,418,2327,16,17,14,6,104,68
2020-04-07,Selangor,476,783,31,34,7,60,273,59
2020-04-07,Terengganu,246,1209,5,8,13,7,69,33
2020-04-07,W.P. Kuala Lumpur,735,3393,9,12,6,5,279,46
2020-04-07,W.P. Labuan,15,115,0,0,1,0,0,3
2020-04-08,Johor,586,2579,5,18,6,14,247,62
2020-04-08,Kedah,170,1183,2,4,0,10,25,3
2020-04-08,Kelantan,309,1570,3,3,9,14,35,8
2020-04-08,Melaka,158,1039,1,9,0,1,78,9
2020-04-08,Negeri Sembilan,430,1205,2,8,0,22,108,3
2020-04-08,Pahang,504,1622,3,3,6,7,87,28
2020-04-08,Perak,323,2551,2,3,1,7,95,15
2020-04-08,Perlis,12,495,0,0,0,0,5,4
2020-04-08,Pulau Pinang,86,1132,0,6,0,4,20,1
2020-04-08,Sabah,639,2478,10,5,6,3,117,71
2020-04-08,Sarawak,418,2327,15,9,8,9,81,69
2020-04-08,Selangor,476,783,32,64,23,41,268,85
2020-04-08,Terengganu,247,1209,5,7,3,5,74,40
2020-04-08,W.P. Kuala Lumpur,665,3527,9,10,6,41,254,43
2020-04-08,W.P. Labuan,15,115,0,0,1,0,0,2
2020-04-09,Johor,586,2579,8,12,6,27,236,64
2020-04-09,Kedah,170,1183,2,0,1,4,23,2
2020-04-09,Kelantan,309,1570,5,1,1,3,33,12
2020-04-09,Melaka,158,1039,2,10,1,1,87,5
2020-04-09,Negeri Sembilan,430,1205,1,11,0,12,100,5
2020-04-09,Pahang,504,1622,4,13,4,7,90,25
2020-04-09,Perak,323,2549,2,4,3,15,84,14
2020-04-09,Perlis,12,495,0,0,0,0,5,3
2020-04-09,Pulau Pinang,86,1132,2,0,1,2,18,2
2020-04-09,Sabah,639,2478,10,2,11,10,106,82
2020-04-09,Sarawak,418,2327,13,16,13,4,90,59
2020-04-09,Selangor,476,783,49,53,25,39,259,119
2020-04-09,Terengganu,247,1209,2,4,4,3,75,38
2020-04-09,W.P. Kuala Lumpur,725,3525,6,18,12,29,252,35
2020-04-09,W.P. Labuan,15,115,1,0,0,0,0,3
2020-04-10,Johor,586,2579,13,10,12,44,198,59
2020-04-10,Kedah,170,1183,1,0,1,0,23,2
2020-04-10,Kelantan,309,1570,4,1,3,7,27,13
2020-04-10,Melaka,158,1039,2,4,1,2,68,5
2020-04-10,Negeri Sembilan,430,1205,0,12,0,17,91,4
2020-04-10,Pahang,497,1622,2,4,2,7,87,25
2020-04-10,Perak,323,2549,2,1,5,13,72,13
2020-04-10,Perlis,12,495,0,0,0,0,5,2
2020-04-10,Pulau Pinang,86,1132,0,1,2,4,18,0
2020-04-10,Sabah,681,2478,10,2,9,7,100,91
2020-04-10,Sarawak,418,2327,8,0,7,1,34,38
2020-04-10,Selangor,552,783,56,39,43,33,261,115
2020-04-10,Terengganu,247,1209,8,7,10,3,79,36
2020-04-10,W.P. Kuala Lumpur,725,3525,4,9,2,22,239,29
2020-04-10,W.P. Labuan,15,115,1,0,1,0,0,3
2020-04-11,Johor,586,2579,7,16,10,13,192,43
2020-04-11,Kedah,170,1183,2,0,1,4,19,3
2020-04-11,Kelantan,309,1570,2,2,5,7,20,10
2020-04-11,Melaka,158,1039,1,11,2,3,57,3
2020-04-11,Negeri Sembilan,430,1205,1,20,2,5,103,3
2020-04-11,Pahang,497,1622,15,29,7,7,109,33
2020-04-11,Perak,323,2549,3,2,1,4,67,13
2020-04-11,Perlis,12,495,0,0,0,0,5,2
2020-04-11,Pulau Pinang,86,1132,0,5,0,5,21,0
2020-04-11,Sabah,681,2478,3,1,8,4,97,86
2020-04-11,Sarawak,418,2327,11,15,23,0,95,68
2020-04-11,Selangor,552,783,40,65,34,31,275,122
2020-04-11,Terengganu,247,1209,0,3,6,1,81,30
2020-04-11,W.P. Kuala Lumpur,725,3525,7,15,3,22,231,19
2020-04-11,W.P. Labuan,15,115,1,0,1,0,0,3
2020-04-12,Johor,586,2579,14,12,7,18,186,35
2020-04-12,Kedah,170,1183,0,0,0,2,19,1
2020-04-12,Kelantan,309,1570,4,0,3,2,19,11
2020-04-12,Melaka,158,1039,3,9,1,3,67,3
2020-04-12,Negeri Sembilan,430,1205,1,6,1,12,92,2
2020-04-12,Pahang,497,1622,3,9,8,2,116,28
2020-04-12,Perak,323,2549,1,0,6,3,64,8
2020-04-12,Perlis,12,495,0,0,0,0,5,2
2020-04-12,Pulau Pinang,86,1132,3,2,0,1,22,3
2020-04-12,Sabah,563,2478,6,12,10,5,100,77
2020-04-12,Sarawak,418,2327,7,9,14,1,95,59
2020-04-12,Selangor,552,783,62,28,52,47,230,144
2020-04-12,Terengganu,247,1209,1,1,3,5,80,27
2020-04-12,W.P. Kuala Lumpur,725,3525,9,44,0,9,267,25
2020-04-12,W.P. Labuan,15,115,1,0,1,0,0,3
2020-04-13,Johor,586,2579,17,24,6,28,186,42
2020-04-13,Kedah,170,1183,0,0,0,2,14,2
2020-04-13,Kelantan,309,1570,1,2,3,3,18,10
2020-04-13,Melaka,158,1039,3,1,1,0,68,5
2020-04-13,Negeri Sembilan,430,1205,1,3,0,10,85,4
2020-04-13,Pahang,497,1622,11,0,3,2,114,36
2020-04-13,Perak,323,2549,1,4,1,7,61,8
2020-04-13,Perlis,12,495,0,0,0,0,5,2
2020-04-13,Pulau Pinang,86,1132,3,0,1,0,21,3
2020-04-13,Sabah,563,2478,5,7,8,7,99,67
2020-04-13,Sarawak,418,2327,13,7,13,1,86,60
2020-04-13,Selangor,552,783,30,57,21,40,242,140
2020-04-13,Terengganu,247,1209,1,8,4,4,83,25
2020-04-13,W.P. Kuala Lumpur,725,3525,3,6,4,42,229,25
2020-04-13,W.P. Labuan,13,115,1,0,0,0,0,4
2020-04-14,Johor,586,2579,33,17,3,13,187,71
2020-04-14,Kedah,170,1183,0,0,0,1,14,1
2020-04-14,Kelantan,309,1570,1,0,3,1,17,9
2020-04-14,Melaka,158,1039,2,1,1,1,67,6
2020-04-14,Negeri Sembilan,430,1205,0,40,1,13,106,2
2020-04-14,Pahang,497,1622,3,10,2,6,118,37
2020-04-14,Perak,323,2549,0,3,2,19,45,6
2020-04-14,Perlis,12,495,1,0,0,0,5,3
2020-04-14,Pulau Pinang,86,1132,0,3,0,5,19,4
2020-04-14,Sabah,515,2478,11,14,9,5,101,72
2020-04-14,Sarawak,418,2327,9,11,11,0,88,62
2020-04-14,Selangor,552,783,17,42,31,24,213,149
2020-04-14,Terengganu,247,1209,2,2,3,3,82,21
2020-04-14,W.P. Kuala Lumpur,725,3525,4,5,4,31,198,13
2020-04-14,W.P. Labuan,13,115,0,0,0,0,0,4
2020-04-15,Johor,586,2579,16,19,14,0,203,72
2020-04-15,Kedah,170,1183,0,1,0,0,16,1
2020-04-15,Kelantan,309,1570,1,0,1,6,11,9
2020-04-15,Melaka,158,1039,2,2,0,4,95,11
2020-04-15,Negeri Sembilan,430,1205,0,11,0,5,103,2
2020-04-15,Pahang,497,1622,3,1,17,8,111,23
2020-04-15,Perak,323,2549,0,0,1,8,37,5
2020-04-15,Perlis,12,495,0,0,1,0,5,2
2020-04-15,Pulau Pinang,86,1132,0,0,1,0,19,3
2020-04-15,Sabah,535,2478,6,0,6,0,100,67
2020-04-15,Sarawak,446,2327,20,7,10,5,85,73
2020-04-15,Selangor,552,783,13,15,56,36,190,97
2020-04-15,Terengganu,247,1209,3,2,3,2,81,22
2020-04-15,W.P. Kuala Lumpur,755,3525,6,11,2,27,187,20
2020-04-15,W.P. Labuan,11,115,0,0,4,0,0,0
2020-04-16,Johor,586,2579,27,16,7,0,217,98
2020-04-16,Kedah,170,1183,1,0,0,6,10,2
2020-04-16,Kelantan,309,1570,1,0,4,2,11,6
2020-04-16,Melaka,158,1039,6,0,0,7,88,8
2020-04-16,Negeri Sembilan,430,1205,2,1,1,8,90,3
2020-04-16,Pahang,497,1622,3,26,2,9,128,24
2020-04-16,Perak,323,2549,3,3,2,8,32,6
2020-04-16,Perlis,12,495,0,0,0,0,5,2
2020-04-16,Pulau Pinang,86,1132,2,0,3,1,18,2
2020-04-16,Sabah,535,2478,7,3,2,2,101,73
2020-04-16,Sarawak,454,2327,19,20,7,0,96,77
2020-04-16,Selangor,552,783,15,30,39,22,174,88
2020-04-16,Terengganu,247,1209,1,2,0,3,80,23
2020-04-16,W.P. Kuala Lumpur,755,3525,9,6,3,7,176,21
2020-04-16,W.P. Labuan,11,115,0,0,0,0,0,0
2020-04-17,Johor,586,2609,15,23,11,0,224,92
2020-04-17,Kedah,170,1183,1,0,1,0,10,2
2020-04-17,Kelantan,309,1570,2,0,4,6,5,4
2020-04-17,Melaka,158,1039,1,0,0,8,94,8
2020-04-17,Negeri Sembilan,430,1205,1,26,0,9,101,4
2020-04-17,Pahang,497,1622,12,1,10,17,111,26
2020-04-17,Perak,323,2549,0,1,0,3,30,6
2020-04-17,Perlis,12,495,0,0,0,0,5,2
2020-04-17,Pulau Pinang,86,1132,0,0,1,3,15,3
2020-04-17,Sabah,601,2488,10,5,5,17,89,78
2020-04-17,Sarawak,454,2339,28,17,13,3,110,92
2020-04-17,Selangor,552,783,35,11,20,14,175,92
2020-04-17,Terengganu,247,1209,5,2,5,7,73,23
2020-04-17,W.P. Kuala Lumpur,755,3525,3,11,3,6,183,19
2020-04-17,W.P. Labuan,11,117,0,0,0,0,0,0
2020-04-18,Johor,586,2609,20,10,48,0,233,63
2020-04-18,Kedah,170,1183,0,0,0,0,10,1
2020-04-18,Kelantan,309,1570,0,3,0,0,8,4
2020-04-18,Melaka,158,1039,0,1,4,4,84,4
2020-04-18,Negeri Sembilan,430,1205,0,17,1,4,111,0
2020-04-18,Pahang,497,1622,2,2,5,11,102,23
2020-04-18,Perak,323,2549,0,0,1,2,28,5
2020-04-18,Perlis,12,495,1,0,1,1,4,1
2020-04-18,Pulau Pinang,86,1132,0,0,3,1,14,0
2020-04-18,Sabah,601,2488,9,7,16,6,72,58
2020-04-18,Sarawak,454,2339,21,8,15,4,108,100
2020-04-18,Selangor,552,783,70,17,28,23,170,130
2020-04-18,Terengganu,242,1209,1,0,3,7,68,18
2020-04-18,W.P. Kuala Lumpur,755,3525,3,3,4,4,182,16
2020-04-18,W.P. Labuan,11,117,2,0,0,0,0,2
2020-04-19,Johor,586,2579,26,12,15,1,239,80
2020-04-19,Kedah,170,1183,0,0,0,2,8,1
2020-04-19,Kelantan,309,1570,0,0,1,0,8,3
2020-04-19,Melaka,158,1039,0,0,0,6,74,4
2020-04-19,Negeri Sembilan,430,1205,3,1,0,4,108,3
2020-04-19,Pahang,497,1622,11,5,4,7,100,30
2020-04-19,Perak,323,2549,1,0,3,6,21,4
2020-04-19,Perlis,12,495,1,0,0,0,4,2
2020-04-19,Pulau Pinang,86,1132,0,0,0,1,13,0
2020-04-19,Sabah,601,2478,5,13,12,4,99,59
2020-04-19,Sarawak,454,2327,12,9,6,7,102,94
2020-04-19,Selangor,552,783,12,16,35,12,172,102
2020-04-19,Terengganu,242,1209,1,1,2,7,61,19
2020-04-19,W.P. Kuala Lumpur,755,3525,4,0,1,9,174,20
2020-04-19,W.P. Labuan,11,115,2,0,0,0,0,4
2020-04-20,Johor,586,2579,13,10,19,1,236,75
2020-04-20,Kedah,170,1183,1,0,0,2,7,2
2020-04-20,Kelantan,309,1570,2,1,0,1,8,5
2020-04-20,Melaka,158,1039,2,37,0,11,79,6
2020-04-20,Negeri Sembilan,430,1205,0,3,1,19,92,1
2020-04-20,Pahang,497,1622,10,2,4,14,88,36
2020-04-20,Perak,323,2549,1,1,0,2,20,5
2020-04-20,Perlis,12,495,0,0,0,0,4,2
2020-04-20,Pulau Pinang,86,1132,0,0,0,0,13,0
2020-04-20,Sabah,601,2478,10,5,7,5,91,56
2020-04-20,Sarawak,454,2327,12,9,36,4,108,68
2020-04-20,Selangor,552,783,18,16,45,11,178,75
2020-04-20,Terengganu,242,1209,0,0,8,3,58,11
2020-04-20,W.P. Kuala Lumpur,755,3525,4,6,0,14,160,18
2020-04-20,W.P. Labuan,11,115,0,0,2,0,0,2
2020-04-21,Johor,586,2579,13,1,10,1,227,50
2020-04-21,Kedah,170,1183,0,0,1,0,7,1
2020-04-21,Kelantan,309,1560,0,0,0,1,8,5
2020-04-21,Melaka,158,1039,1,1,3,2,78,4
2020-04-21,Negeri Sembilan,430,1205,0,7,0,10,74,0
2020-04-21,Pahang,513,1616,6,9,11,7,90,31
2020-04-21,Perak,323,2549,4,0,0,2,18,8
2020-04-21,Perlis,12,495,1,0,1,4,0,2
2020-04-21,Pulau Pinang,86,1132,1,0,0,0,13,1
2020-04-21,Sabah,601,2478,9,0,4,2,88,57
2020-04-21,Sarawak,454,2327,13,9,4,5,108,74
2020-04-21,Selangor,552,783,52,8,18,17,168,107
2020-04-21,Terengganu,242,1209,0,0,2,0,58,9
2020-04-21,W.P. Kuala Lumpur,755,3525,3,8,3,10,154,15
2020-04-21,W.P. Labuan,11,115,0,0,2,0,0,0
2020-04-22,Johor,586,2579,6,1,16,0,211,40
2020-04-22,Kedah,170,1183,0,1,0,0,8,1
2020-04-22,Kelantan,309,1560,0,0,1,0,8,4
2020-04-22,Melaka,158,1039,1,2,1,10,70,3
2020-04-22,Negeri Sembilan,430,1205,0,2,0,7,67,2
2020-04-22,Pahang,513,1616,38,6,7,3,93,62
2020-04-22,Perak,323,2549,0,0,0,1,17,7
2020-04-22,Perlis,12,495,0,0,0,0,0,2
2020-04-22,Pulau Pinang,86,1124,0,0,1,2,11,0
2020-04-22,Sabah,601,2478,4,0,3,0,88,54
2020-04-22,Sarawak,454,2327,23,21,14,21,114,81
2020-04-22,Selangor,552,783,21,4,30,11,156,97
2020-04-22,Terengganu,242,1209,2,0,1,2,56,10
2020-04-22,W.P. Kuala Lumpur,755,3525,7,12,3,19,145,15
2020-04-22,W.P. Labuan,11,115,3,0,0,0,0,3
2020-04-23,Johor,586,2579,14,5,12,0,202,43
2020-04-23,Kedah,170,1183,0,0,1,0,8,0
2020-04-23,Kelantan,309,1560,2,0,1,1,7,5
2020-04-23,Melaka,158,1039,0,0,0,3,67,3
2020-04-23,Negeri Sembilan,430,1205,2,20,1,2,84,2
2020-04-23,Pahang,513,1616,9,1,3,6,87,68
2020-04-23,Perak,323,2549,0,0,2,2,14,5
